name,id,box_art_url
Music,26936,https://static-cdn.jtvnw.net/ttv-boxart/26936-{width}x{height}.jpg
Escape from Tarkov,491931,https://static-cdn.jtvnw.net/ttv-boxart/491931_IGDB-{width}x{height}.jpg
FIFA 22,1869092879,https://static-cdn.jtvnw.net/ttv-boxart/1869092879_IGDB-{width}x{height}.jpg
Teamfight Tactics,513143,https://static-cdn.jtvnw.net/ttv-boxart/513143-{width}x{height}.jpg
"Warhammer 40,000: Chaos Gate - Daemonhunters",2047407036,https://static-cdn.jtvnw.net/ttv-boxart/2047407036_IGDB-{width}x{height}.jpg
Eternal Return,512864,https://static-cdn.jtvnw.net/ttv-boxart/512864_IGDB-{width}x{height}.jpg
Rogue Legacy 2,516914,https://static-cdn.jtvnw.net/ttv-boxart/516914_IGDB-{width}x{height}.jpg
Marauders,556660222,https://static-cdn.jtvnw.net/ttv-boxart/556660222_IGDB-{width}x{height}.jpg
ASMR,509659,https://static-cdn.jtvnw.net/ttv-boxart/509659-{width}x{height}.jpg
Diablo II: Resurrected,1788326126,https://static-cdn.jtvnw.net/ttv-boxart/1788326126_IGDB-{width}x{height}.jpg
Art,509660,https://static-cdn.jtvnw.net/ttv-boxart/509660-{width}x{height}.jpg
Genshin Impact,513181,https://static-cdn.jtvnw.net/ttv-boxart/513181-{width}x{height}.jpg
Poker,488190,https://static-cdn.jtvnw.net/ttv-boxart/488190-{width}x{height}.jpg
Ranch Simulator,1366210635,https://static-cdn.jtvnw.net/ttv-boxart/1366210635_IGDB-{width}x{height}.jpg
Talk Shows & Podcasts,417752,https://static-cdn.jtvnw.net/ttv-boxart/417752-{width}x{height}.jpg
Subnautica,460090,https://static-cdn.jtvnw.net/ttv-boxart/460090_IGDB-{width}x{height}.jpg
Potato Thriller,503966,https://static-cdn.jtvnw.net/ttv-boxart/503966-{width}x{height}.jpg
Chess,743,https://static-cdn.jtvnw.net/ttv-boxart/743-{width}x{height}.jpg
Virtual Casino,29452,https://static-cdn.jtvnw.net/ttv-boxart/29452_IGDB-{width}x{height}.jpg
Yu-Gi-Oh! Master Duel,1119642287,https://static-cdn.jtvnw.net/ttv-boxart/1119642287_IGDB-{width}x{height}.jpg
Call Of Duty: Modern Warfare,1614555304,https://static-cdn.jtvnw.net/ttv-boxart/1614555304-{width}x{height}.jpg
I'm Only Sleeping,498592,https://static-cdn.jtvnw.net/ttv-boxart/498592_IGDB-{width}x{height}.jpg
Wreckfest,370472,https://static-cdn.jtvnw.net/ttv-boxart/370472_IGDB-{width}x{height}.jpg
Bugsnax,518013,https://static-cdn.jtvnw.net/ttv-boxart/518013_IGDB-{width}x{height}.jpg
Politics,515214,https://static-cdn.jtvnw.net/ttv-boxart/515214-{width}x{height}.jpg
World of Tanks,27546,https://static-cdn.jtvnw.net/ttv-boxart/27546-{width}x{height}.jpg
Magic: The Gathering,2748,https://static-cdn.jtvnw.net/ttv-boxart/2748-{width}x{height}.jpg
Red Dead Redemption 2,493959,https://static-cdn.jtvnw.net/ttv-boxart/493959_IGDB-{width}x{height}.jpg
DayZ,65632,https://static-cdn.jtvnw.net/ttv-boxart/65632_IGDB-{width}x{height}.jpg
Destiny 2,497057,https://static-cdn.jtvnw.net/ttv-boxart/497057-{width}x{height}.jpg
Old School RuneScape,459931,https://static-cdn.jtvnw.net/ttv-boxart/459931_IGDB-{width}x{height}.jpg
Crayon Shin-Chan: Ora to Hakase no Natsuyasumi ~Owaranai Nanokakan no Tabi~,2118640148,https://static-cdn.jtvnw.net/ttv-boxart/2118640148_IGDB-{width}x{height}.jpg
MapleStory,19976,https://static-cdn.jtvnw.net/ttv-boxart/19976_IGDB-{width}x{height}.jpg
Black Desert,386821,https://static-cdn.jtvnw.net/ttv-boxart/386821_IGDB-{width}x{height}.jpg
Retro,27284,https://static-cdn.jtvnw.net/ttv-boxart/27284-{width}x{height}.jpg
RimWorld,394568,https://static-cdn.jtvnw.net/ttv-boxart/394568_IGDB-{width}x{height}.jpg
VRChat,499003,https://static-cdn.jtvnw.net/ttv-boxart/499003_IGDB-{width}x{height}.jpg
Rocket League,30921,https://static-cdn.jtvnw.net/ttv-boxart/30921-{width}x{height}.jpg
